id,favorite_count,retweet_count,created_at
711980513062293504,0,0,Mon Mar 21 18:19:16 +0000 2016
711967619071418369,5,0,Mon Mar 21 17:28:02 +0000 2016
711962162902634498,7,0,Mon Mar 21 17:06:21 +0000 2016
711984373042511872,3,1,Mon Mar 21 18:34:37 +0000 2016
711979591032643585,3,0,Mon Mar 21 18:15:37 +0000 2016
711986826244820992,0,0,Mon Mar 21 18:44:22 +0000 2016
711963192834961408,5,3,Mon Mar 21 17:10:27 +0000 2016
711963702786785280,1,0,Mon Mar 21 17:12:29 +0000 2016
711971088532508672,2,2,Mon Mar 21 17:41:49 +0000 2016
711968303246237696,1,0,Mon Mar 21 17:30:45 +0000 2016
711973865316962304,7,1,Mon Mar 21 17:52:51 +0000 2016
711968566044717058,1,0,Mon Mar 21 17:31:48 +0000 2016
711976555149266945,4,0,Mon Mar 21 18:03:33 +0000 2016
711970879811366912,2,0,Mon Mar 21 17:41:00 +0000 2016
711989995754508289,12,8,Mon Mar 21 18:56:57 +0000 2016
711989231212560384,2,2,Mon Mar 21 18:53:55 +0000 2016
711992439091757056,1,0,Mon Mar 21 19:06:40 +0000 2016
711965165185437696,6,2,Mon Mar 21 17:18:17 +0000 2016
711986406558597120,2,0,Mon Mar 21 18:42:42 +0000 2016
711991785824714752,2,0,Mon Mar 21 19:04:04 +0000 2016
711970364985892864,4,0,Mon Mar 21 17:38:57 +0000 2016
711987158802825216,2,1,Mon Mar 21 18:45:41 +0000 2016
711968347416453123,4,0,Mon Mar 21 17:30:56 +0000 2016
711968618959908867,2,0,Mon Mar 21 17:32:01 +0000 2016
711984610549243904,7,1,Mon Mar 21 18:35:33 +0000 2016
711987472255754240,4,0,Mon Mar 21 18:46:56 +0000 2016
712038522593669120,1,1,Mon Mar 21 22:09:47 +0000 2016
712060858398998528,0,0,Mon Mar 21 23:38:32 +0000 2016
712308580808921088,5,1,Tue Mar 22 16:02:54 +0000 2016
712032361656000512,0,0,Mon Mar 21 21:45:18 +0000 2016
712072561568276481,2,0,Tue Mar 22 00:25:03 +0000 2016
712008191815454722,2,0,Mon Mar 21 20:09:16 +0000 2016
711993100890087424,5,0,Mon Mar 21 19:09:18 +0000 2016
712035643313020932,0,0,Mon Mar 21 21:58:21 +0000 2016
712028768940896256,3,2,Mon Mar 21 21:31:02 +0000 2016
711994362796769280,2,0,Mon Mar 21 19:14:18 +0000 2016
712305576693248001,3,2,Tue Mar 22 15:50:58 +0000 2016
712029186035027968,1,0,Mon Mar 21 21:32:41 +0000 2016
712101889463033856,11,2,Tue Mar 22 02:21:35 +0000 2016
712026711668297728,0,0,Mon Mar 21 21:22:51 +0000 2016
712033313381335040,2,0,Mon Mar 21 21:49:05 +0000 2016
712026232599121920,1,0,Mon Mar 21 21:20:57 +0000 2016
712178510291476480,0,0,Tue Mar 22 07:26:03 +0000 2016
712308842751610882,1,1,Tue Mar 22 16:03:56 +0000 2016
