id,favorite_count,retweet_count
589875822250569729,0,0
590088671757479937,2,1
590084048288112641,4,1
590079469731348481,0,0
590089440036577280,2,0
590087231085379584,2,1
590088193946554368,2,1
590088291128635392,1,1
590090601644826624,1,0
590076916289372160,2,2
590088325459025921,0,5
590085999058952192,2,0
590085930549174272,3,0
590089989083553792,7,3
590091333521506304,1,4
590085275210100737,0,0
590076925097418752,0,0
590089826310979584,0,0
590080740810981376,6,0
590081747599151104,1,0
590081484922421248,4,0
590081328353280000,1,1
590087241491468288,0,0
590075751489216513,2,1
590086463611662336,2,0
590080632283385858,3,0
590081353988841472,0,1
590082861174239232,1,0
590088983230701568,3,1
590084787144171520,0,0
590076815164702720,3,0
590091618138591232,0,1
590086603504295937,1,0
590084253578330112,1,0
590078124211187712,4,1
590087521402494976,2,0
590086515293847552,1,0
590085251227082752,6,10
590088637536141312,0,1
590082547947798528,0,0
590087030236905472,1,0
590091217301569536,1,1
590087232238841857,1,1
590087702244102144,2,1
590086698765316096,0,0
590076918143307777,4,1
590078801557790721,2,1
590086324583006209,0,0
590087839758553088,0,0
590090848295120897,1,2
590086463372525568,2,6
590084409497415680,0,0
590086624022769664,1,1
590087036230565888,1,0
590090903647322112,0,0
590086695116210176,2,0
590082520735186944,0,0
590091288067842048,1,0
590077011630157824,3,0
590090689167392768,0,0
590078349533384704,0,0
590084899496976384,0,0
590090712634544129,2,2
590087886617366528,1,0
590090083874770944,0,0
590090324875284480,0,0
590078854259150848,0,0
590086917250777088,2,0
590081472058544128,4,0
590090137113100288,4,1
590086742918766592,8,4
590076015722004480,2,1
590078252670197760,1,2
590087442608345088,0,0
590090119652212736,0,0
590085465040150528,2,1
590087549042962432,0,0
590085117953052672,0,0
590087936554729472,0,0
590085824148066304,2,1
590090942197145601,1,0
590089718341234688,0,0
590076373127036928,4,0
590083439015157760,1,1
590085587362836480,0,3
590075611663757312,6,3
590082548501504000,4,3
590076555839299584,3,0
590086633703264256,1,1
590087226429702144,1,0
590086369617272832,1,3
590088249223344128,3,1
590086522914938881,3,2
590079213291577344,1,1
590090688060116992,0,0
590086202742681600,1,0
590090789830688768,0,0
590086757410086912,1,0
590086152977256448,1,0
590152703034183681,0,0
590135326351433728,0,0
590150961294868480,2,0
590156453832433665,1,0
